person_id,level,school,years,major,degree,instructor
1,Undergraduate,University of Florida,1970 to 1975,Art Eduation (concentration in ceramics),BS,
1,Graduate,East Carolina University,1981 to 1989,Metals,MFA I nstructor: John Satterfield,
2,Undergraduate,California State College - Long Beach,1960 to 1963,Industrial Arts,BA,Bill Macon (wood)
2,Undergraduate,California State College - San Jose,1956 to 1957,Industrial Arts,none,
2,Graduate,Cranbrook Academy of Art,1966 to 1968,Metalsmithing,MFA,Richard Thomas
3,Undergraduate,Orange Coast College,1958 to 1961,Graphic Design,AA,
3,Undergraduate,California State University - Long Beach,1964 to 1967,"Painting/Drawing (1966), Metals (1967)",BA,Alvin Pine
3,Graduate,Rochester Institute of Technology,1967 to 1968,Metals,none,Hans Christensen
3,Graduate,California State University - Long Beach,"1967 to 1969, 1975 to 1977",Metals,MA & MFA,Alvin Pine
4,Undergraduate,Massachusetts School of Art,? to 1926,Education,BS,
5,Undergraduate,San Diego State University,1965 to 1969,Art Education,BA,Arline Fisch
5,Graduate,California State University - Long Beach,1970 to 1971 and 1976 to 1977,Crafts with emphasis in Jewelry/Metalsmithing,MFA,Alvine Pine
6,Undergraduate,University of Texas - Austin,1963 to 1965,Studio Art,BFA,Michael Lacktman
6,Undergraduate,Del Mar Junior College,1960 to 1963,Art,BS,Charlotte Watson
6,Graduate,Cranbrook Academy of Art,1965 to 1967,Jewelry/Metalsmithing with a minor in design,MFA,Richard Thomas
7,Undergraduate,University of Minnesota,1975 to 1981,Photography,BA,
7,Graduate,State University of New York - New Paltz,1984 to 1985,Metals/Jewelry,MA,Bob Ebendorf
7,Graduate,Hunter College of the City of New York,1990 to 1993,Sculpture,MFA,
8,Undergraduate,Indiana University,1981 to 1985,Metalsmithing,BA,Randy Long
8,Graduate,Indiana State University,1985 to 1988,Ceramics,MFA,Dick Hay
9,Undergraduate,University of Wisconsin - Madison,1960 to 1963 with one year out for military,Art Education with metal emphasis,BS,Arthur Vierthaler
9,Undergraduate,Platteville State Teacher's College,1958 to 1960,Industrial Arts Education,none,E.W. Manzur
9,Graduate,University of Illinois - Urbana,1966 to 1967,Art Education with emphasis in jewelry,MA,Robert Von Neumann
9,Graduate,University of Wisconsin - Madison,1967 to 1968,Jewelry/Metalsmithing,MFA,Arthur Vierthaler
10,Undergraduate,Phoenix Indian School,? to 1940,?,?,
10,Graduate,School for American Craftsmen/Rochester Institute of Technology,1945 to 1948,,,
11,Undergraduate,Southwestern College,1969 to 1971,Art,AA,David Richardson
11,Undergraduate,San Diego State University,1971 to 1974,Crafts,BA,Arline Fisch
11,Graduate,San Diego State University,1974 to 1977,Metalsmithing/Jewelry,MA,Arline Fisch
11,Graduate,California State University - Long Beach,1982 to 1983,Metalsmithing/Jewelry,MFA,Alvin Pine
12,Undergraduate,Philadelphia College of Art,? to ?,Industrial Design,BS,
12,Graduate,Tyler School of Art - Temple University,? to ?,Metals/Jewelry,MFA,Stanley Lechtzin
13,Undergraduate,California State University - Long Beach,? to ?,General Art,BA,Alvine Pine
13,Graduate,California State University - Long Beach,1971 to 1973,Art/Metalsmithing/Jewelry,MA,Alvine Pine
14,Undergraduate,California State University - Long Beach,? to ?,?,BA,Alvin Pine
14,Graduate,University of Indiana,? to ?,?,MFA,
15,Undergraduate,New York University,,Business Administration,none,
15,Undergraduate,University of Georgia,? to 1970,,BFA,
15,Graduate,State University of New York - New Paltz,1970 to 1974,Metals,MFA,Bob Ebendorf
16,Undergraduate,Kansas State University,1978 to 1981,Jewelry/Metalsmithing,BFA,Elliot Pujol
16,Graduate,Bowling Green State University,1986 to 1988,Jewelry/Metalsmithing,MFA,Harold Hasselschwert
17,Undergraduate,Kent State University,1970 to 1971,Design/Crafts,BFA,William Harper
17,Undergraduate,Miami Dade Junior College,1967 to 1969,Art,AA,Duane Hanson
17,Graduate,State College of New York - New Paltz,1972 to 1975,Gold and Silversmithing,MFA,Bob Ebendorf
18,Undergraduate,University of Wisconsin - Madison,1961 to 1965,Metal/ Wood Sculpture,BS,Fred Fenster
18,Graduate,University of Wisconsin - Madison,1965 to 1966,Metal/ Wood Sculpture,MS,Fred Fenster
19,Undergraduate,Cleveland Institute of Art,1960 to 1965,Metals,BFA,Frederick Miller
19,Undergraduate,Grove City College,1958 to 1959,Business Administration,,
19,Graduate,Syracuse University,1965 to 1967,Metals,MFA,Arthur Pulos
20,Undergraduate,Oxford University,? to 1949,Fine Art/Sculpture,Diploma,
20,Undergraduate,Slade School of Art,? to ?,?,?,
