id,entity_type,slug,name,question,finding,status,confidence,source_url,source_title,date_checked,notes
1,person,crafts/metalsdirectorypage/p38.html,Linda Darty,alive/job/name-change,"Linda Darty is the same metalsmith/enamelist from the archived record (confirmed by the ECU/MFA and John Satterfield instructor detail). She established ECU's first enameling program in 1981, authored The Art of Enameling (2004), and later founded and directs ECU's Italy Intensives program in Tuscany, where she now lives and teaches. No obituary found; she appears to be living and active.",retired-emeritus,medium,https://www.lindadarty.com/ | https://art.ecu.edu/faculty-staff__trashed/linda-darty/ | https://www.enamelarts.org/linda-darty-tribute-collection/ | https://www.enamelarts.org/linda-darty/ | https://enamelcenter.org/tag/linda-darty/ | https://www.riogrande.com/knowledge-hub/influencers-jewelry-design-lindadarty/,,2026-05-29,"verified=not-needed; Correct person confirmed: archived ""MFA at ECU, instructor John Satterfield"" matches sourced bio (""while a graduate student under master silversmith John Satterfield, Darty established the university's first formal enamels program""). NAME UNCHANGED. Status: still associated with ECU but her ECU faculty page now sits at a ""faculty-staff__trashed"" URL and she has relocated to Certaldo, Italy to run the Italy Intensives program, strongly suggesting she has transitioned out of regular resident faculty (likely retired/emeritus) — but ECU's own page has not labeled her emeritus, so this is inferred, not confirmed. ALIVE: no obituary or death record found in searches; living-artist tribute collections (Enamel Arts Foundation 2017) and an active personal portfolio site indicate she is alive — set to 'unknown' only out of source caution, but evidence leans living. Born 1952 per archive; would be ~74 in 2026."
2,person,crafts/metalsdirectorypage/P68.html,Alfred E. (Bud) Green,alive/job/name-change,"Alfred E. Green was an associate professor of art at Texas Woman's University, confirmed as a metalsmith by the silver-and-ivory university ceremonial mace he designed and handmade by hand in 1977. He no longer appears on any current TWU faculty roster; born 1933, he is almost certainly long retired, but no obituary, name change, or current record could be found, so his life status is unknown.",retired-emeritus,low,https://twu.edu/inauguration/academic-and-university-symbols/ | https://twu.edu/commencement/symbols-and-traditions/ | https://twu.edu/faculty-handbook/faculty-employment-policies-and-practices/emeritus-faculty/ | https://twu.edu/visual-arts/about-us/faculty-and-staff/,,2026-05-29,"verified=confirmed; Identity confirmed via TWU's official Academic Symbols page: ""Designed and handmade in 1977 by Alfred E. Green, associate professor of art, the mace... silver sphere banded by ivory... gold seal of the university."" The handcrafted silver/gold metalwork matches the directory's metalsmith/jeweler profile and the ""Texas Woman's University since 1969"" employment. NO obituary located (several unrelated Alfred Greens in TX, e.g. Alfred Gale Green of Haslet d.2022, do not match an art professor — distinct person). NO evidence of a name change. He is NOT on TWU's current Visual Arts faculty or current emeritus PDF results, consistent with retirement decades ago. Could not independently confirm the CSU Long Beach BA / CSU San Jose / Cranbrook MFA education chain from public web sources, though it is plausible and internally consistent. Born 1933 -> ~93 in 2026, so 'likely-deceased' is plausible but unsupported by any obituary, hence 'unknown' at low confidence. Do not confuse with Alfred E. Green the early-Hollywood film director (1889-1960)."
3,person,crafts/metalsdirectorypage/p1.html,Lynda Watson-Abbott,alive/job/name-change,"Living American metalsmith/jeweler (b. 1940), now working professionally as ""Lynda Watson"" (the archived ""Watson-Abbott"" was a married/professional surname she no longer uses). She built and ran the Jewelry/Metals Program at Cabrillo College from 1970 until her retirement in 1995, and remains an active studio artist — named the Metal Museum's 2022 Master Metalsmith and an American Craft Council Fellow in 2024.",retired-emeritus,high,https://en.wikipedia.org/wiki/Lynda_Watson | https://artjewelryforum.org/interviews/lynda-watson_artistnatl-us_auth-kris-patzlaff_authnatl-us_9-9-2024/ | https://www.metalmuseum.org/master-metalsmith-lynda-watson | https://www.craftcouncil.org/recognition/lynda-watson | https://www.ganoksin.com/article/lynda-watson-abbott-visual-diaries/ | https://www.wikidata.org/wiki/Q18813634,,2026-05-29,"verified=confirmed; The archived directory lists ""n/a"" for currently teaching, consistent with her 1995 retirement from Cabrillo College (Aptos, CA) after 25 years. Name change is well-supported: all current/recent sources (Wikipedia, Metal Museum 2022 Master Metalsmith, American Craft Council, 2024 Art Jewelry Forum interview) refer to her solely as ""Lynda Watson""; ""Watson-Abbott"" appears only in older sources (e.g., a 1990s Ganoksin ""Visual Diaries"" piece) and Wikidata as an alternate name. In the Sept 2024 interview she describes herself as ""in my mid-80s,"" confirming she is alive. Education in the record matches her bio (CSU Long Beach BA/MA/MFA; she also attended Orange Coast College and RIT). Her own site is lyndawatsonart.com. No obituary found; alive with high confidence."
4,person,crafts/metalsdirectorypage/p10.html,Kenneth Bates,alive/job/name-change,"Kenneth Francis Bates (1904–1994) was the enamelist long associated with the Cleveland Institute of Art, widely regarded as the ""Dean of American Enamelists."" He died in 1994; the archived ""n/a"" current-teaching status is consistent with a historical figure.",retired-emeritus,high,https://case.edu/ech/articles/b/bates-kenneth-f | https://www.enamelarts.org/kenneth-f-bates/ | https://www.aaa.si.edu/collections/kenneth-francis-bates-papers-5875 | https://clevelandartsprize.org/artists/kenneth-bates/,,2026-05-29,"verified=not-needed; Confirmed historical metals-arts figure, not a same-named person in another field. Studied at Massachusetts School of Art (BS, ~1922–1926), matching the archived education record. Taught at Cleveland School of Art / Cleveland Institute of Art from 1927 for ~43 years; authored Enameling: Principles and Practice (1951), The Enamelist (1967), Basic Design (1970). No name change. Born well before 1930, consistent with the archive's ""likely historical figure"" note. Multiple corroborating sources (Encyclopedia of Cleveland History, Smithsonian Archives of American Art, Enamel Arts Foundation, Cleveland Arts Prize)."
5,person,crafts/metalsdirectorypage/p100.html,Marcia Lewis,alive/job/name-change,"Marcia Lewis (b. 1946), the jeweler/metalsmith known for the chasing technique, taught at Long Beach City College from 1978 to 2003 and is now professor emeritus; she is living and her work is held by the Smithsonian American Art Museum and Carnegie Museum of Art.",retired-emeritus,high,https://en.wikipedia.org/wiki/Marcia_Lewis_(artist) | https://americanart.si.edu/artist/marcia-lewis-5885 | https://www.objectsusa.com/?jw_portfolio=marcia-lewis-sculpture | https://www.lbcc.edu/jewelry-metalsmithing,,2026-05-29,"verified=not-needed; Strong identity match: archived record's education (San Diego State undergrad, CSU Long Beach MFA) and Long Beach City College teaching since 1978 align with sources. Wikipedia lists her as living; no obituary found for this person (obituary search results were unrelated same-named individuals, including a Broadway actress who died in 2010). No evidence of a name change. Archived ""since 1978"" job ended in 2003 (retirement to emeritus status), so she is no longer actively teaching there. Wikipedia gives birthplace Washington DC, b. 1946; archived ""Born: October 7"" is consistent (day/month only)."
6,person,crafts/metalsdirectorypage/p101.html,Val J. Link,alive/job/name-change,"Val J. Link (Val James Link), the metalsmith/jeweler who founded and led the University of Houston's jewelry/metalsmithing program, died July 22, 2019 at age 79 in Houston, TX. His name did not change.",retired-emeritus,high,https://www.millerfuneral.com/obituaries/Val-James-Link?obId=5403215 | https://www.ganoksin.com/article/metalsmith-92-winter-exhibition-reviews/ | http://www.temple.edu/crafts/metalsdirectorypage/p101.html,,2026-05-29,"verified=confirmed; High-confidence identity match: the obituary's ""Val James Link"" matches the archived ""Val J. Link"" on exact birth year (1940) and Houston location, and the metalsmith identity is independently corroborated by a 1992 Metalsmith magazine review describing Val Link as head of the University of Houston's jewelry/metalsmithing department with a 25-year career making ""knives, jewelry, vessels and objects"" — consistent with the archived ""teaching at University of Houston since 1970."" The archived Tyler/Temple directory page itself (http://www.temple.edu/crafts/metalsdirectorypage/p101.html) surfaced in search as the source record. The Miller Funeral obituary page loaded only partial text (birth/death dates) via fetch, so career details in the obituary itself were not directly read, but the cross-source corroboration is strong. No evidence of a name change. Education (UT-Austin BFA, Del Mar College, Cranbrook MFA) was not independently re-verified online but is consistent with the era and field."
7,person,crafts/metalsdirectorypage/p102.html,Pamela E. Lins,alive/job/name-change,"The metalsmith Pamela E. Lins now works professionally as ""Pam Lins,"" an award-winning sculptor and educator; she left FIT/metals and is, as of July 2025, Interim Director of Princeton University's Program in Visual Arts. She is alive and active.",no,high,https://en.wikipedia.org/wiki/Pam_Lins | https://arts.princeton.edu/people/pam-lins/ | https://www.towntopics.com/2025/08/27/lins-named-interim-director-of-pus-program-in-visual-arts/ | https://www.gf.org/fellows/pam-lins/ | https://www.ganoksin.com/article/metalsmith-90-spring-exhibition-reviews/ | https://www.huntermfastudio.org/alumni/pam-lins | https://www.bard.edu/mfa/bios/index.php?id=99959667,,2026-05-29,"verified=confirmed; Strong identity match, not a same-name confusion. Education aligns: BA University of Minnesota (""State University of Minnesota"" in her current bios) and MFA Hunter College/CUNY both confirmed; the archive's intermediate MA from SUNY New Paltz fits her metals training but was not independently re-confirmed in current sources (New Paltz has a noted metals MFA program). Her metalsmithing origin is confirmed by a Metalsmith magazine (1990 Spring) review of her 1989 Brooklyn solo show ""A Kept Object"" (brass, steel, glass, wood; patination) — she later expanded from metals into sculpture/cross-disciplinary art. Birth year 1957 in the archive is plausible but not explicitly confirmed in current public sources (current bios omit a birth year; some note birthplace Chicago, which does not conflict with the archive which gives only a year). NAME CHANGE is professional shortening ""Pamela E. Lins"" -> ""Pam Lins,"" not a married rename. She is NOT still at the Fashion Institute of Technology; her academic path ran through The Cooper Union, Bard College (Milton Avery MFA program), and Princeton (senior lecturer since 2010; associate director of Visual Arts 2018-2025; interim director from 1 July 2025). Honors include Guggenheim, Anonymous Was A Woman, Radcliffe Institute, Pollock-Krasner, and Louis Comfort Tiffany awards; exhibited Whitney Biennial 2014, MoMA PS1. Represented by Rachel Uffner / Uffner & Liu gallery. No obituary found; clearly alive."
8,person,crafts/metalsdirectorypage/p103.html,Lisa Lockman,alive/job/name-change,"Lisa Lockman is still a Professor of Art at Nebraska Wesleyan University (since 1990), teaching Metalsmithing and Ceramics. She is an active current faculty member; name unchanged.",yes,high,https://www.nebrwesleyan.edu/campus-directory/lisa-lockman-mfa | https://www.nebrwesleyan.edu/campus-directory/lisa-lockman | http://lisalockman.com/contributors | https://aobfineart.com/artist/lisa-lockman,,2026-05-29,"verified=not-needed; Strong identity match on all archived facts: at NWU since 1990, BA Indiana University, MFA Indiana State University, born/era consistent. Her own bio lists her as teaching ""Ceramics, Metalsmithing, Non-Western Art History, and Intro to Creative Tech."" Her studio practice has shifted primarily toward ceramics (porcelaineous stoneware), but metalsmithing remains part of her teaching, confirming continuity with the metals-directory record. NWU faculty directory lists her with an active email (llockman@NebrWesleyan.edu) as Professor of Art — indicating current, non-retired employment. Personal site lisalockman.com is live (some sub-pages 404). No obituary or name change found."
9,person,crafts/metalsdirectorypage/p104.html,David George Logan,alive/job/name-change,"David George Logan, the ETSU jewelry/metalsmithing professor and metals-arts educator, retired as Professor Emeritus in 2003 and died October 20, 2009 at age 72 of lymphoma.",retired-emeritus,high,https://easttennessean.com/2009/11/02/retired-art-professor-dies-at-72/ | https://www.etsu.edu/cas/art/galleries/history.php,,2026-05-29,"verified=confirmed; Strong identity match: obituary gives full name ""David George Logan,"" born 1937 in Milwaukee WI, earned an MFA in jewelry and metalsmithing (1967), and led ETSU's jewelry/metalsmithing program from 1979 until his retirement (emeritus) in 2003 — matching the archived record's name, birth year, ETSU-since-1979, and metals specialty. He also chaired the Art Dept 1993–1999 and was Faculty Senate president 2001–2002. The obituary cites a vocational-school background and MFA but does not itemize the specific institutions in the archived record (Wisconsin–Madison, Illinois–Urbana, Platteville State Teacher's College); it does note prior faculty service (the obit says Michigan State University for 11 years before ETSU). No name change. Confidence high on identity and death; the exact undergraduate/graduate institution list could not be independently corroborated."
10,person,crafts/metalsdirectorypage/p105.html,Charles Loloma,alive/job/name-change,"Charles Loloma (1921–1991) was a highly influential Hopi jeweler/metalsmith who pioneered the use of gold, gemstones, and inlaid exotic materials in Native American jewelry. He died June 9, 1991; he is a celebrated historical figure, not a current educator.",unknown,high,https://en.wikipedia.org/wiki/Charles_Loloma | https://kinggalleries.com/brand/loloma-charles-1921-1991/ | https://www.medicinemangallery.com/blogs/biographies/charles-loloma-1921-1991-biography | https://www.adobegallery.com/artist/Charles_Loloma_1921_1991_Hopi25332325,,2026-05-29,"verified=not-needed; Archived ""n/a"" for current teaching is correct — Loloma died in 1991. The archived education note (Phoenix Indian School undergraduate; School for American Craftsmen/RIT graduate) matches the record: he attended Phoenix Indian High School and earned a pottery certificate from the School for American Craftsmen (housed at Alfred University in 1947–49, the program later moved to RIT). No name change. He earlier taught at the Institute of American Indian Arts in Santa Fe. Note: SAC was at Alfred University when Loloma attended; the directory's RIT attribution reflects the program's later home."
11,person,crafts/metalsdirectorypage/p106.html,Randy J. Long,alive/job/name-change,"Randy Long is the metalsmith/jeweler from the archived record (born 1951; BA/MA San Diego State, MFA Cal State Long Beach; joined IU in 1983). She is a woman who built IU's metals program, was named Distinguished Professor in 2017, received IU's Bicentennial Medal in 2020, and is now listed as Faculty Emerita. No obituary found; presumed alive.",retired-emeritus,high,https://honorsandawards.iu.edu/awards/honoree/8058.html | https://eskenazi.indiana.edu/news/2017/2017-02-13-randy-long-distinguished.html | https://bulletins.iu.edu/iu/gradschool/2024-2025/programs/bloomington/art-and-design/faculty.shtml | https://eskenazi.indiana.edu/news/2020/2020-10-07-bicentennial-awardees.html | https://www.ganoksin.com/article/randy-long-works-metal/,,2026-05-29,"verified=not-needed; Identity match is strong on all archived facts: born 1951, Southwestern College AA, San Diego State BA + MA, Cal State Long Beach MFA, Indiana University since 1983. Confirmed she is the metals-arts educator (not a same-named person in another field). NAME: no change found; ""Randy"" is her given name and she is a woman (IU uses she/her). STATUS: archived as ""currently teaching at IU since 1983""; she is now Distinguished Professor EMERITA — confirmed in the 2024-2025 IU Graduate School Art & Design bulletin Faculty Emeriti section. Career highlights: NICHE Art Educator of the Year (2007), two NEA Craftsman Fellowships, two Indiana Arts Commission Master Fellowships; work held by Art Institute of Chicago, Museum of Arts and Design (NY), Indianapolis Museum of Art, Jewish Museum (NY). LinkedIn profile exists (long-randy-558a368). ALIVE: no obituary located via searches through 2025; treated as alive with high confidence on the rest, though death status itself is from absence-of-obituary rather than a positive recent confirmation."
12,person,crafts/metalsdirectorypage/p107.html,Leon Lugassy,alive/job/name-change,"Leon Judah Lugassy, jeweler/metalsmith and longtime industrial-design professor at Philadelphia College of Art (now University of the Arts), died December 25, 2021, aged 84. He earned his MFA in Jewelry and Metalsmithing from Tyler School of Art in 1968.",no,high,https://paffett.family/remembering-leon-lugassy/ | http://www.carrfuneralhome.net/obituaries/leon-judah-lugassy,,2026-05-29,"verified=confirmed; Identity confirmed with high confidence: the archived education record (PCA undergraduate BS; Tyler School of Art MFA) matches the obituary exactly — he earned a BS in Industrial Design at Philadelphia College of Arts (now University of the Arts) and a Master's in Jewelry and Metalsmithing from Tyler School of Art in 1968, then taught at PCA for ~20 years and ""created countless pieces of work for synagogues, galleries, exhibits and collections."" The archived ""currently teaching at: n/a"" is consistent — by the directory era he had left teaching; in 1989 he transitioned to a hardwood-flooring business in the Delaware Valley. No name change. Born in Morocco; immigrated to the US in 1962. Carr Funeral Home also hosts an obituary (carrfuneralhome.net/obituaries/leon-judah-lugassy) but that page was unreachable (ECONNREFUSED) at check time."
13,person,crafts/metalsdirectorypage/p108.html,Anthony James Lugo,alive/job/name-change,"Anthony ""Tony"" Lugo was the longtime jewelry/metalsmithing and 3D-design instructor in Palomar College's Fine Arts department (consistent with the archived 1974 start; students recall his classes back to 1986/87). He no longer appears on Palomar's current art faculty or program pages — the current metals instructor is Lisa Mandel and Palomar is advertising an adjunct opening — so he appears to have retired/gone emeritus. No name change and no matching obituary were found.",retired-emeritus,medium,https://www.ratemyprofessors.com/professor/382688 | https://www.palomar.edu/art/explore-programs/ | https://programmap.palomar.edu/academics/interest-clusters/e5374361-6869-4373-90b5-cdcbb1a8f9ec/programs/4d5e743b-a2c9-c650-12b8-6648044d2302 | https://www.higheredjobs.com/faculty/details.cfm?JobCode=179179267 | https://www.silversmithing.com/artisan-memorial.htm,,2026-05-29,"verified=not-needed; Identity confirmed as the correct metalsmith (not a same-named person): Rate My Professors lists him at Palomar College, Fine Arts dept, teaching ART100/105/145/146/150 = metalsmithing, jewelry, enameling, woodworking and design — exactly matching the archived record (Palomar, jewelry/metals). Reviews span from a student who took his class in 1986/87 through June 2012 (most recent review), consistent with the 1974 archived start and a multi-decade tenure. NAME CHANGE: none found. ALIVE: unknown — no obituary that matches the metalsmith. Several ""Anthony/Tony Lugo"" obituaries exist (Modesto 2017, Texas, etc.) but none are tied to jewelry/metals/Palomar, and he is NOT in the Society of American Silversmiths Artisan Memorial. STILL IN JOB: retired-emeritus inferred (medium confidence) — absent from the current Palomar art-department faculty/program pages; current metals instructor is Lisa Mandel; Palomar has an open adjunct jewelry/metalsmithing posting; last RMP review 2012. No formal retirement/emeritus announcement or current personal site was located. Education in archive (CSU Long Beach BA & MA) could not be independently confirmed online but was not contradicted."
14,person,crafts/metalsdirectorypage/p109.html,Richard Mafong,alive/job/name-change,"Richard Mafong (b. Tijuana, Mexico, 1942) is the metalsmith/jeweler who founded and led the Georgia State University metals program in 1968 and retired in 2002; he is Professor Emeritus, not still actively teaching. He was still exhibiting as recently as 2015-2016; no obituary was found, so his current life status is unknown.",retired-emeritus,medium,https://americanart.si.edu/artist/richard-mafong-18315 | https://high.org/collection/container-6/ | https://dlg.usg.edu/record/gsu_ajc_4591 | https://www.artfieldssc.org/galleries/art/2015/cosmos/163760/ | https://www.askart.com/artist/Richard_Mafong/11000838/Richard_Mafong.aspx,,2026-05-29,"verified=not-needed; Identity firmly confirmed (correct field — metals/jewelry; matches archived 1942 birth year): Smithsonian American Art Museum and High Museum both list ""Richard Mafong, American, born Mexico, 1942."" A 1986 AJC photo (Digital Library of Georgia) already calls him ""former Georgia State University professor."" Multiple sources describe him as GSU Professor Emeritus who established the metals program in 1968 and retired in 2002. The archived ""currently teaching at GSU"" is therefore outdated -> retired/emeritus. No evidence of any name change. No obituary located despite targeted searches; he was actively exhibiting through 2015 (ArtFields ""Cosmos"") and 2016 (MOCA GA), so he was alive into the mid-2010s. Would be ~84 in 2026; alive/deceased status genuinely unknown. Note: askART and ArtFields pages returned HTTP 403 to the fetcher but are valid public pages corroborating the 1942/Atlanta details."
