id,slug,name,kind,work_title,dob,birthplace,currently_at,currently_at_url,current_role,since_year,bio_url,source_url,source_ts,fc_alive,fc_name_changed,fc_current_name,fc_current_role,fc_still_in_job,fc_current_link,fc_summary,fc_confidence,fc_verified,fc_sources,fc_checked
1,crafts/public_html/mjcc/local/history/p38.html,LINDA DARTY,person,The More the Sunshines,1952,"Washington, DC",East Carolina University,http://temple.edu:80/crafts/public_html/mjcc/local/history/s46.html,,1990,,http://temple.edu:80/crafts/public_html/mjcc/local/history/p38.html,,,,,,,,,,,,
2,crafts/metalsdirectorypage/P68.html,ALFRED E. (BUD) GREEN,person,Untitled,1933,"Glendale, California",Texas Woman's University,http://www.temple.edu/crafts/metalsdirectorypage/s197.html,,1969,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b68.html,http://www.temple.edu/crafts/metalsdirectorypage/P68.html,,unknown,no,,"Associate Professor of Art (metalsmith/jeweler), Texas Woman's University, Denton, TX — last documented active there in 1977; now long retired (no current listing).",retired-emeritus,https://twu.edu/inauguration/academic-and-university-symbols/,"Alfred E. Green was an associate professor of art at Texas Woman's University, confirmed as a metalsmith by the silver-and-ivory university ceremonial mace he designed and handmade by hand in 1977. He no longer appears on any current TWU faculty roster; born 1933, he is almost certainly long retired, but no obituary, name change, or current record could be found, so his life status is unknown.",low,confirmed,https://twu.edu/inauguration/academic-and-university-symbols/ | https://twu.edu/commencement/symbols-and-traditions/ | https://twu.edu/faculty-handbook/faculty-employment-policies-and-practices/emeritus-faculty/ | https://twu.edu/visual-arts/about-us/faculty-and-staff/,2026-05-29
3,crafts/metalsdirectorypage/p1.html,LYNDA WATSON-ABBOTT,person,Japan-Motifs #2,1940,"Orange, California",,,,,,http://www.temple.edu/crafts/metalsdirectorypage/p1.html,,yes,yes,Lynda Watson,"Studio jeweler/metalsmith; retired (1995) head of Jewelry/Metals Program, Cabrillo College, Aptos, CA",retired-emeritus,https://en.wikipedia.org/wiki/Lynda_Watson,"Living American metalsmith/jeweler (b. 1940), now working professionally as ""Lynda Watson"" (the archived ""Watson-Abbott"" was a married/professional surname she no longer uses). She built and ran the Jewelry/Metals Program at Cabrillo College from 1970 until her retirement in 1995, and remains an active studio artist — named the Metal Museum's 2022 Master Metalsmith and an American Craft Council Fellow in 2024.",high,confirmed,https://en.wikipedia.org/wiki/Lynda_Watson | https://artjewelryforum.org/interviews/lynda-watson_artistnatl-us_auth-kris-patzlaff_authnatl-us_9-9-2024/ | https://www.metalmuseum.org/master-metalsmith-lynda-watson | https://www.craftcouncil.org/recognition/lynda-watson | https://www.ganoksin.com/article/lynda-watson-abbott-visual-diaries/ | https://www.wikidata.org/wiki/Q18813634,2026-05-29
4,crafts/metalsdirectorypage/p10.html,KENNETH BATES,person,,1904,"North Scituate, Massachusetts",,,,,,http://www.temple.edu/crafts/metalsdirectorypage/p10.html,,no,no,,"Longtime faculty member (1927–1970, ~43 years) at the Cleveland School / Cleveland Institute of Art; enamelist, honored as ""Dean of American Enamelists"" by the National Society of Enamelists (1987). Now deceased.",retired-emeritus,https://case.edu/ech/articles/b/bates-kenneth-f,"Kenneth Francis Bates (1904–1994) was the enamelist long associated with the Cleveland Institute of Art, widely regarded as the ""Dean of American Enamelists."" He died in 1994; the archived ""n/a"" current-teaching status is consistent with a historical figure.",high,not-needed,https://case.edu/ech/articles/b/bates-kenneth-f | https://www.enamelarts.org/kenneth-f-bates/ | https://www.aaa.si.edu/collections/kenneth-francis-bates-papers-5875 | https://clevelandartsprize.org/artists/kenneth-bates/,2026-05-29
5,crafts/metalsdirectorypage/p100.html,MARCIA LEWIS,person,,October 7,"Washington, DC",Long Beach City College,http://www.temple.edu/crafts/metalsdirectorypage/s93.html,,1978,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b100.html,http://www.temple.edu/crafts/metalsdirectorypage/p100.html,,yes,no,,"Professor Emeritus, Jewelry/Metalsmithing, Long Beach City College (taught 1978–2003); also referred to as professor emeritus at Long Beach State University",retired-emeritus,https://en.wikipedia.org/wiki/Marcia_Lewis_(artist),"Marcia Lewis (b. 1946), the jeweler/metalsmith known for the chasing technique, taught at Long Beach City College from 1978 to 2003 and is now professor emeritus; she is living and her work is held by the Smithsonian American Art Museum and Carnegie Museum of Art.",high,not-needed,https://en.wikipedia.org/wiki/Marcia_Lewis_(artist) | https://americanart.si.edu/artist/marcia-lewis-5885 | https://www.objectsusa.com/?jw_portfolio=marcia-lewis-sculpture | https://www.lbcc.edu/jewelry-metalsmithing,2026-05-29
6,crafts/metalsdirectorypage/p101.html,VAL J. LINK,person,Tea. V. Tube,1940,"Shreveport, Louisiana",University of Houston,http://www.temple.edu/crafts/metalsdirectorypage/s224.html,,1970,,http://www.temple.edu/crafts/metalsdirectorypage/p101.html,,no,no,,"Professor and head of the jewelry/metalsmithing program, University of Houston (founded/led the program from ~1970; deceased 2019 — emeritus by the time of death)",retired-emeritus,https://www.millerfuneral.com/obituaries/Val-James-Link?obId=5403215,"Val J. Link (Val James Link), the metalsmith/jeweler who founded and led the University of Houston's jewelry/metalsmithing program, died July 22, 2019 at age 79 in Houston, TX. His name did not change.",high,confirmed,https://www.millerfuneral.com/obituaries/Val-James-Link?obId=5403215 | https://www.ganoksin.com/article/metalsmith-92-winter-exhibition-reviews/ | http://www.temple.edu/crafts/metalsdirectorypage/p101.html,2026-05-29
7,crafts/metalsdirectorypage/p102.html,PAMELA E. LINS,person,Desire,1957,"Chicago, Illinois",Fashion Institute of Technology,http://www.temple.edu/crafts/metalsdirectorypage/s57.html,,1990,,http://www.temple.edu/crafts/metalsdirectorypage/p102.html,,yes,yes,Pam Lins,"Interim Director of the Program in Visual Arts (Senior Lecturer in Visual Arts), Lewis Center for the Arts, Princeton University",no,https://en.wikipedia.org/wiki/Pam_Lins,"The metalsmith Pamela E. Lins now works professionally as ""Pam Lins,"" an award-winning sculptor and educator; she left FIT/metals and is, as of July 2025, Interim Director of Princeton University's Program in Visual Arts. She is alive and active.",high,confirmed,https://en.wikipedia.org/wiki/Pam_Lins | https://arts.princeton.edu/people/pam-lins/ | https://www.towntopics.com/2025/08/27/lins-named-interim-director-of-pus-program-in-visual-arts/ | https://www.gf.org/fellows/pam-lins/ | https://www.ganoksin.com/article/metalsmith-90-spring-exhibition-reviews/ | https://www.huntermfastudio.org/alumni/pam-lins | https://www.bard.edu/mfa/bios/index.php?id=99959667,2026-05-29
8,crafts/metalsdirectorypage/p103.html,LISA LOCKMAN,person,,1963,"Terre Haute, Indiana",Nebraska Wesl e yan University,http://www.temple.edu/crafts/metalsdirectorypage/s124.html,,1990,,http://www.temple.edu/crafts/metalsdirectorypage/p103.html,,yes,no,,"Professor of Art (teaches Metalsmithing, Ceramics, Intro to Creative Tech), Nebraska Wesleyan University, Lincoln, NE",yes,https://www.nebrwesleyan.edu/campus-directory/lisa-lockman-mfa,"Lisa Lockman is still a Professor of Art at Nebraska Wesleyan University (since 1990), teaching Metalsmithing and Ceramics. She is an active current faculty member; name unchanged.",high,not-needed,https://www.nebrwesleyan.edu/campus-directory/lisa-lockman-mfa | https://www.nebrwesleyan.edu/campus-directory/lisa-lockman | http://lisalockman.com/contributors | https://aobfineart.com/artist/lisa-lockman,2026-05-29
9,crafts/metalsdirectorypage/p104.html,DAVID GEORGE LOGAN,person,Untitled,1937,"Milwaukee, Wisconsin",East Tennesse State University,http://www.temple.edu/crafts/metalsdirectorypage/s48.html,,1979,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b104.html,http://www.temple.edu/crafts/metalsdirectorypage/p104.html,,no,no,,"Professor Emeritus and former Chair, Department of Art & Design, East Tennessee State University; led the jewelry/metalsmithing program 1979–2003",retired-emeritus,https://easttennessean.com/2009/11/02/retired-art-professor-dies-at-72/,"David George Logan, the ETSU jewelry/metalsmithing professor and metals-arts educator, retired as Professor Emeritus in 2003 and died October 20, 2009 at age 72 of lymphoma.",high,confirmed,https://easttennessean.com/2009/11/02/retired-art-professor-dies-at-72/ | https://www.etsu.edu/cas/art/galleries/history.php,2026-05-29
10,crafts/metalsdirectorypage/p105.html,CHARLES LOLOMA,person,,1921,"Hotevilla on Third Mesa, Arizona",,,,,http://www.temple.edu/crafts/metalsdirectorypage/biographies/b105.html,http://www.temple.edu/crafts/metalsdirectorypage/p105.html,,no,no,,"Hopi jeweler/metalsmith and artist; full name Charles Sequevya Loloma. Trained in pottery at the School for American Craftsmen (then at Alfred University, later RIT). Earlier taught at the Institute of American Indian Arts, Santa Fe. Deceased 1991.",unknown,https://en.wikipedia.org/wiki/Charles_Loloma,"Charles Loloma (1921–1991) was a highly influential Hopi jeweler/metalsmith who pioneered the use of gold, gemstones, and inlaid exotic materials in Native American jewelry. He died June 9, 1991; he is a celebrated historical figure, not a current educator.",high,not-needed,https://en.wikipedia.org/wiki/Charles_Loloma | https://kinggalleries.com/brand/loloma-charles-1921-1991/ | https://www.medicinemangallery.com/blogs/biographies/charles-loloma-1921-1991-biography | https://www.adobegallery.com/artist/Charles_Loloma_1921_1991_Hopi25332325,2026-05-29
