program_id,name,person_url
1,Ginna Sadler 1980 to present,http://www.temple.edu/crafts/metalsdirectorypage/p165.html
2,Robert C. Fisher 1975 to present,http://www.temple.edu/crafts/metalsdirectorypage/p54.html
5,Vitrice McMurry 1983 to present,http://www.temple.edu/crafts/metalsdirectorypage/p119.html
6,Pat Taylor 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p185.html
7,"Robert C. Fisher 1967 to 1968, 1970 and 1971",http://www.temple.edu/crafts/metalsdirectorypage/p54.html
7,Susan Ewing 1981 to present,http://www.temple.edu/crafts/metalsdirectorypage/p48.html
8,Klaus Kallenberger 1966 to present,http://www.temple.edu/crafts/metalsdirectorypage/p85.html
10,Brigid O'Hanrahan 1982 to present,http://www.temple.edu/crafts/metalsdirectorypage/p139.html
11,Mary A. Petrick 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p146.html
11,Claire Pfleger 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p147.html
12,Bruce Guiwits 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p71.html
15,Todd Hawkinson 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p77.html
15,Myrl Hein 1982 to present,http://www.temple.edu/crafts/metalsdirectorypage/p78.html
17,Richard Helzer 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p79.html
17,Kate Wagle 1981 to 1982,http://www.temple.edu/crafts/metalsdirectorypage/p197.html
18,Komelia H. Okim ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p208.html
18,Brian Meek 1994 to ?,http://www.temple.edu/crafts/metalsdirectorypage/p120.html
19,Harold Hasselschwert 1965 to 1990,http://www.temple.edu/crafts/metalsdirectorypage/p75.html
19,Chuck Evans 1972 to 197 8,http://www.temple.edu/crafts/metalsdirectorypage/p47.html
19,Thomas S. Madden 1986 to 1990,http://www.temple.edu/crafts/metalsdirectorypage/p110.html
19,Thomas Muir 1991 to present,http://www.temple.edu/crafts/metalsdirectorypage/p132.html
21,Lynn Duggan 1978 to present,http://www.temple.edu/crafts/metalsdirectorypage/p43.html
22,Lisa Lockman 1990 to present,http://www.temple.edu/crafts/metalsdirectorypage/p103.html
23,Carlyle Smith as a guest professor in the summer sessions of 1962 to 1979,http://www.temple.edu/crafts/metalsdirectorypage/p178.html
23,Patrice Case ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p21.html
23,Kate Wagle 1982 to 1988,http://www.temple.edu/crafts/metalsdirectorypage/p197.html
23,Lisa Norton 1989 to 1992,http://www.temple.edu/crafts/metalsdirectorypage/p137.html
23,Julia Barrelo 1992 to present,http://www.temple.edu/crafts/metalsdirectorypage/p9.html
24,Pamela E. Lins 1989 to present,http://www.temple.edu/crafts/metalsdirectorypage/p102.html
27,James Malenda 1976 to 1987,http://www.temple.edu/crafts/metalsdirectorypage/p111.html
27,Candace Gerbers Brey 1991 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p17.html
29,Joseph Cornett 1980 to present,http://www.temple.edu/crafts/metalsdirectorypage/p31.html
31,Dale Wedig 1983 to present,http://www.temple.edu/crafts/metalsdirectorypage/p198.html
32,Lee Hageman 1967 to present,http://www.temple.edu/crafts/metalsdirectorypage/p72.html
33,Susan Hamlet 1978 to 1988,http://www.temple.edu/crafts/metalsdirectorypage/p74.html
33,"Chris Ramsay 1986 to 1987, 1990 to present",http://www.temple.edu/crafts/metalsdirectorypage/p159.html
35,Lynda Watson-Abbott 1970 to 1995,http://www.temple.edu/crafts/metalsdirectorypage/p1.html
35,Nancy Megan Corwin 1984 to 1989,http://www.temple.edu/crafts/metalsdirectorypage/p33.html
35,Dawn E. Nakanishi ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p134.html
36,Norma Latta 1986 to present,http://www.temple.edu/crafts/metalsdirectorypage/p205.html
37,Christine Clark 1984 to present,http://www.temple.edu/crafts/metalsdirectorypage/p28.html
38,Anthony Lugo 1974 to present,http://www.temple.edu/crafts/metalsdirectorypage/p108.html
39,Mary Ann Scherr 1978 to 1988,http://www.temple.edu/crafts/metalsdirectorypage/p167.html
39,William Harper as a visiting professor in 1979,http://www.temple.edu/crafts/metalsdirectorypage/p73.html
39,Pamela E. Lins 1986 to 1991,http://www.temple.edu/crafts/metalsdirectorypage/p102.html
41,Leslie Leupp 1988 to present,http://www.temple.edu/crafts/metalsdirectorypage/p98.html
42,Majorie Schick 1967 to present,http://www.temple.edu/crafts/metalsdirectorypage/p168.html
44,Chris Ramsay 1989 to 1990,http://www.temple.edu/crafts/metalsdirectorypage/p159.html
44,Myra Mimlitsch Gray 1990 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p67.html
44,Robin Kraft 1994 to present,http://www.temple.edu/crafts/metalsdirectorypage/p90.html
44,Gene Pijanowski ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p148.html
46,"Alan Revere, Director of the Academy",http://www.temple.edu/crafts/metalsdirectorypage/p163.html
47,Curtis K LaFollette 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p93.html
48,Antonio Cirono ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p27.html
48,John Prip 1963 to 1980,http://www.temple.edu/crafts/metalsdirectorypage/p153.html
48,George Paul Van Duinwyk 1973 to 1974,http://www.temple.edu/crafts/metalsdirectorypage/p193.html
48,Louis Mueller 1977 to 2005,http://www.temple.edu/crafts/metalsdirectorypage/p130.html
48,Robin Quigley ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p157.html
49,Louis Mueller 1977 to present,http://www.temple.edu/crafts/metalsdirectorypage/p130.html
49,Robin Quigley ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p157.html
50,Philip Morton ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p127.html
50,John Prip 1948 to 1954,http://www.temple.edu/crafts/metalsdirectorypage/p153.html
50,Hans Christensen 1954 to 1983,http://www.temple.edu/crafts/metalsdirectorypage/p26.html
50,Svetovar Radakovich 1955 to 1958,http://www.temple.edu/crafts/metalsdirectorypage/p158.html
50,Albert Paley 1969 to 1972,http://www.temple.edu/crafts/metalsdirectorypage/p141.html
50,Gary Griffin 1974 to 1984,http://www.temple.edu/crafts/metalsdirectorypage/p70.html
50,Harlan Butt in 1975,http://www.temple.edu/crafts/metalsdirectorypage/p20.html
53,Bob Winston 1942 to 1956,http://www.temple.edu/crafts/metalsdirectorypage/p199.html
53,Martin Streich 1959 to present,http://www.temple.edu/crafts/metalsdirectorypage/p182.html
53,Marilyn DaSilva ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p39.html
53,Dawn E. Nakanishi part time since 1994,http://www.temple.edu/crafts/metalsdirectorypage/p134.html
54,Svetovar Radakovich 1958 to 1959,http://www.temple.edu/crafts/metalsdirectorypage/p158.html
54,Arlene Fisch 1961 to present,http://www.temple.edu/crafts/metalsdirectorypage/p52.html
54,David La Plantz 1970 to 1971,http://www.temple.edu/crafts/metalsdirectorypage/p94.html
54,Helen Shirk 1975 to present,http://www.temple.edu/crafts/metalsdirectorypage/p174.html
54,Harlan Butt 1975 to 1976,http://www.temple.edu/crafts/metalsdirectorypage/p20.html
54,Gene Pijanowski ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p148.html
54,Billie Jean Theide 1982 to 1983,http://www.temple.edu/crafts/metalsdirectorypage/p186.html
55,Imogene Gieling 1965 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p62.html
55,Dawn Nakanishi 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p134.html
56,Sara Sloan Stine 1987 to present,http://www.temple.edu/crafts/metalsdirectorypage/p181.html
57,John Prip 1960 to 1962,http://www.temple.edu/crafts/metalsdirectorypage/p153.html
58,Joseph Filkosky 1955 to 1999,http://www.temple.edu/crafts/metalsdirectorypage/p51.html
60,John D Wittersheim 1979 to present,http://www.temple.edu/crafts/metalsdirectorypage/p200.html
61,Earl Pardon 1951 to 1989,http://www.temple.edu/crafts/metalsdirectorypage/p142.html
61,Arline M. Fisch 1957 to 1961,http://www.temple.edu/crafts/metalsdirectorypage/p52.html
61,Sharon Church 1973 to 1976,http://www.temple.edu/crafts/metalsdirectorypage/p25.html
61,Susan Hamlet spring of 1981,http://www.temple.edu/crafts/metalsdirectorypage/p74.html
65,L. Brent Kington 1961 to 1997,http://www.temple.edu/crafts/metalsdirectorypage/p89.html
65,Mary Lee Hu 1968 to 1969,http://www.temple.edu/crafts/metalsdirectorypage/p82.html
65,Richard Mawdsley 1978 to 2005,http://www.temple.edu/crafts/metalsdirectorypage/p115.html
68,Nancy Moyer 1964 to 1966,http://www.temple.edu/crafts/metalsdirectorypage/p129.html
68,Beverly Penn 1990 to present,http://www.temple.edu/crafts/metalsdirectorypage/p144.html
70,Donald P. Taylor 1984 to present,http://www.temple.edu/crafts/metalsdirectorypage/p184.html
72,Thomas R Markusen 1968 to present,http://www.temple.edu/crafts/metalsdirectorypage/p112.html
72,Albert Paley 1972 to 1984,http://www.temple.edu/crafts/metalsdirectorypage/p141.html
73,Patrice Case ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p21.html
74,Kurt Matzdorf 1957 to 1985,http://www.temple.edu/crafts/metalsdirectorypage/p114.html
74,Bob Ebendorf 1971 to 1989,http://www.temple.edu/crafts/metalsdirectorypage/p44.html
74,Jamie Bennett 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p11.html
74,Fred Woell 1989 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p201.html
74,Myra Mimlitsch-Gray 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p67.html
76,Robert Streppone 1979 to present,http://www.temple.edu/crafts/metalsdirectorypage/p183.html
77,Arthur Pulos 1955 to 1982,http://www.temple.edu/crafts/metalsdirectorypage/p155.html
77,Michael Jerry 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p84.html
77,John Marshall 1968 to 1970,http://www.temple.edu/crafts/metalsdirectorypage/p113.html
78,Karmien Bowman ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p15.html
79,Leslie Leupp ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p98.html
80,Alfred E. Green 1969 to present,http://www.temple.edu/crafts/metalsdirectorypage/P68.html
81,William Harper 1974 to present,http://www.temple.edu/crafts/metalsdirectorypage/p73.html
81,Lisa Norton 1988 to 1989,http://www.temple.edu/crafts/metalsdirectorypage/p137.html
82,Lisa Norton 1992 to present,http://www.temple.edu/crafts/metalsdirectorypage/p137.html
84,Alvin Pine 1962 to 1996,http://www.temple.edu/crafts/metalsdirectorypage/p152.html
84,Dieter Muller-Stach 1968 to present,http://www.temple.edu/crafts/metalsdirectorypage/p131.html
85,Mary Ann Scherr 1969 to 1972,http://www.temple.edu/crafts/metalsdirectorypage/p167.html
85,Robin Kraft part time from 1992 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p90.html
87,Hiroko Sato-Pijanowski 1986 to present,http://www.temple.edu/crafts/metalsdirectorypage/p149.html
87,Gene Pijanowski 1991 to present,http://www.temple.edu/crafts/metalsdirectorypage/p148.html
87,Thomas S. Madden 1991 to 1993,http://www.temple.edu/crafts/metalsdirectorypage/p110.html
88,Michael Lacktman ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p92.html
88,Thelma Coles 1978 to present,http://www.temple.edu/crafts/metalsdirectorypage/p29.html
89,Rachelle Thiewes 1976 to present,http://www.temple.edu/crafts/metalsdirectorypage/p187.html
90,Dr. Nancy Moyer 1969 to present,http://www.temple.edu/crafts/metalsdirectorypage/p129.html
91,Karl G. Nacke 1903 to 1912,http://www.temple.edu/crafts/metalsdirectorypage/p133.html
91,Samuel Yellin 1907 to 1920,http://www.temple.edu/crafts/metalsdirectorypage/p204.html
91,Douglas Gilchrist 1921 to 1943,http://www.temple.edu/crafts/metalsdirectorypage/p63.html
91,Virginia Wireman Cute 1944 to 1953,http://www.temple.edu/crafts/metalsdirectorypage/p37.html
91,Richard Reinhardt 1947 to 1986,http://www.temple.edu/crafts/metalsdirectorypage/p162.html
91,Olaf Skoogfors 1959 to 1975,http://www.temple.edu/crafts/metalsdirectorypage/p177.html
91,Leon Lugassy 1967 to 1990,http://www.temple.edu/crafts/metalsdirectorypage/p107.html
91,Helen Williams Drutt English 1972 to 1982,http://www.temple.edu/crafts/metalsdirectorypage/p46.html
91,Robin Quigley 1976 to 1979,http://www.temple.edu/crafts/metalsdirectorypage/p157.html
91,Sharon Church 1979 to present,http://www.temple.edu/crafts/metalsdirectorypage/p25.html
91,Rod McCormick 1981 to present,http://www.temple.edu/crafts/metalsdirectorypage/p117.html
91,Myra Mimlitsch Gray 1986 to 1990,http://www.temple.edu/crafts/metalsdirectorypage/p67.html
92,Michael Croft 1965 to 1972,http://www.temple.edu/crafts/metalsdirectorypage/p36.html
92,Michael Lacktman 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p92.html
92,Claire Pfleger 1978 to 1984,http://www.temple.edu/crafts/metalsdirectorypage/p147.html
92,Kate Wagle 1988 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p197.html
93,John Fix 1967 to present,http://www.temple.edu/crafts/metalsdirectorypage/p55.html
95,William Derreuvere 1971 to present,http://www.temple.edu/crafts/metalsdirectorypage/p41.html
96,Stanley Lechtzin 1962 to present,http://www.temple.edu/crafts/metalsdirectorypage/p97.html
96,Elliot Pujol 1971 to 1973,http://www.temple.edu/crafts/metalsdirectorypage/p154.html
96,Vickie Sedman 1974 to present,http://www.temple.edu/crafts/metalsdirectorypage/p170.html
96,Daniella Kerner 1977 to present,http://www.temple.edu/crafts/metalsdirectorypage/p88.html
97,Dr. Helen Bonzelaar 1967 to present,http://www.temple.edu/crafts/metalsdirectorypage/p14.html
98,Charles Loloma 1959 to 1961,http://www.temple.edu/crafts/metalsdirectorypage/p105.html
98,Bob Winston 1964 to 1968,http://www.temple.edu/crafts/metalsdirectorypage/p199.html
98,Michael Croft 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p36.html
100,Val J. Link 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p101.html
101,Arthur Pulos 1946 to 1955,http://www.temple.edu/crafts/metalsdirectorypage/p155.html
101,Robert Von Neumann 1955 to 1984,http://www.temple.edu/crafts/metalsdirectorypage/p196.html
101,Alan Mette 1981 to present,http://www.temple.edu/crafts/metalsdirectorypage/p122.html
101,Billie Jean Theide 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p186.html
102,Chunghi Choo 1968 to present,http://www.temple.edu/crafts/metalsdirectorypage/p23.html
102,Barbara Nilausen-k 1991 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p136.html
103,Carlyle Smith 1947 to 1977,http://www.temple.edu/crafts/metalsdirectorypage/p178.html
103,Klaus Kallenberger 1965 to 1966,http://www.temple.edu/crafts/metalsdirectorypage/p85.html
103,Robert Montgomery ? to ?,http://www.temple.edu/crafts/metalsdirectorypage/p126.html
103,Olli Peter Valanne 1974 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p192.html
103,Jon Havener 1977 to present,http://www.temple.edu/crafts/metalsdirectorypage/p76.html
104,Carol Kumata ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p91.html
105,Arline Fisch 1975 to 1976,http://www.temple.edu/crafts/metalsdirectorypage/p52.html
105,J. Fred Woell 1976 to 1985,http://www.temple.edu/crafts/metalsdirectorypage/p201.html
105,Jaimie Bennett 1978 to 1985,http://www.temple.edu/crafts/metalsdirectorypage/p11.html
105,Alan Burton Thompson 1987 to present,http://www.temple.edu/crafts/metalsdirectorypage/p214.htm
105,Susan Hamlet 1988 to present,http://www.temple.edu/crafts/metalsdirectorypage/p74.html
106,Philip Morton 1948 to 1961,http://www.temple.edu/crafts/metalsdirectorypage/p127.html
108,Ellen Rose-Auyong 1972 to present,http://www.temple.edu/crafts/metalsdirectorypage/p4.html
109,Harlan Butt 1976 to present,http://www.temple.edu/crafts/metalsdirectorypage/p20.html
110,Arthur Pulos 1939 to 1941,http://www.temple.edu/crafts/metalsdirectorypage/p155.html
110,Nancy Megan Corwin 1989 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p33.html
110,Kate Wagle 1994 to present,http://www.temple.edu/crafts/metalsdirectorypage/p197.html
111,Kent Lamar 1975 to present,http://www.temple.edu/crafts/metalsdirectorypage/p95.html
111,Hollis Howard 1978 to present,http://www.temple.edu/crafts/metalsdirectorypage/p81.html
112,Linda L. Ryan 1982 to present,http://www.temple.edu/crafts/metalsdirectorypage/p164.html
114,David Keens 1974 to present,http://www.temple.edu/crafts/metalsdirectorypage/p87.html
115,Ruth Pennington 1928 to 1969,http://www.temple.edu/crafts/metalsdirectorypage/p210.html
115,John Marshall 1975 to present,http://www.temple.edu/crafts/metalsdirectorypage/p113.html
115,Mary Lee Hu 1980 to present,http://www.temple.edu/crafts/metalsdirectorypage/p82.html
115,Lynne Hull 1985 to 1986,http://www.temple.edu/crafts/metalsdirectorypage/p83.html
118,Arthur Vierthaler 1946 to 1976,http://www.temple.edu/crafts/metalsdirectorypage/p195.html
118,Fred Fenster 1962 to present,http://www.temple.edu/crafts/metalsdirectorypage/p49.html
118,Eleanor Moty 1972 to 2000,http://www.temple.edu/crafts/metalsdirectorypage/p128.html
118,Mary Lee Hu 1976 to 1977,http://www.temple.edu/crafts/metalsdirectorypage/p82.html
118,Martha Glowacki ?,http://www.temple.edu/crafts/metalsdirectorypage/p66.html
119,Robert Pum 1969 to present,http://www.temple.edu/crafts/metalsdirectorypage/p156.html
119,Donald P. Taylor 1972 to 1978,http://www.temple.edu/crafts/metalsdirectorypage/p184.html
121,Thomas P. Muir 1985 to 1991,http://www.temple.edu/crafts/metalsdirectorypage/p132.html
121,Thomas S. Madden 1992 to present,http://www.temple.edu/crafts/metalsdirectorypage/p110.html
122,Marcia Lewis 1973 to 1975,http://www.temple.edu/crafts/metalsdirectorypage/p100.html
122,Linda Threadgill ? to present,http://www.temple.edu/crafts/metalsdirectorypage/p209.html
123,Nancy Thompson 1969 to present,http://www.temple.edu/crafts/metalsdirectorypage/p189.html
124,Heikka Seppa 1965 to 1992,http://www.temple.edu/crafts/metalsdirectorypage/p172.html
124,John Baltrusunas part time from 1972 to 1992,http://www.temple.edu/crafts/metalsdirectorypage/p7.html
125,Phillip Fike 1953 to 1997,http://www.temple.edu/crafts/metalsdirectorypage/p50.html
126,Lorin S. Thunell 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p190.html
128,Barney Brienza 1971 to present,http://www.temple.edu/crafts/metalsdirectorypage/p18.html
129,Romona Solberg 1956 to 1967,http://www.temple.edu/crafts/metalsdirectorypage/p179.html
129,Ken Cory 1972 to 1994,http://www.temple.edu/crafts/metalsdirectorypage/p34.html
129,Keith A. Lewis 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p99.html
131,Steven C. Ortiz as a visiting artist in 1995,http://www.temple.edu/crafts/metalsdirectorypage/p140.html
136,Jew Freyaulenhoven in 1972,http://www.temple.edu/crafts/metalsdirectorypage/p57.html
137,Phillip Carrizzi,http://www.temple.edu/crafts/metalsdirectorypage/s272.html
141,Charlotte Nichols 1985 to present,http://www.temple.edu/crafts/metalsdirectorypage/p135.html
142,Kenneth Bates 1927 to 1968,http://www.temple.edu/crafts/metalsdirectorypage/p10.html
142,John Paul Miller 1946 to 1983,http://www.temple.edu/crafts/metalsdirectorypage/p124.html
142,Frederick Miller 1947 to 1975,http://www.temple.edu/crafts/metalsdirectorypage/p123.html
142,Arthur Pulos as a visiting professor in the summer sessions of 1949 and 1953,http://www.temple.edu/crafts/metalsdirectorypage/p155.html
142,Jon Havener 1976 to 1977,http://www.temple.edu/crafts/metalsdirectorypage/p76.html
142,Kathy Buszkiewicz 1983 to present,http://www.temple.edu/crafts/metalsdirectorypage/p19.html
142,William Harper as a visiting professor in 1984 to 1985,http://www.temple.edu/crafts/metalsdirectorypage/p73.html
142,Lisa Norton 1987 to 1988,http://www.temple.edu/crafts/metalsdirectorypage/p137.html
142,Matthew Hollern 1989 to present,http://www.temple.edu/crafts/metalsdirectorypage/p80.html
143,Kathleen Malec Kamal 1994 to present,http://www.temple.edu/crafts/metalsdirectorypage/p86.html
144,David La Plantz 1969 to 1970,http://www.temple.edu/crafts/metalsdirectorypage/p94.html
144,Nilda Getty 1970 to present,http://www.temple.edu/crafts/metalsdirectorypage/p61.html
144,Bruce Metcalf 1977 to 1978,http://www.temple.edu/crafts/metalsdirectorypage/p121.html
145,Jeff Georgantes 1987 to present,http://www.temple.edu/crafts/metalsdirectorypage/p60.html
148,Harry Bertoia 1939 to 1943,http://www.temple.edu/crafts/metalsdirectorypage/p13.html
148,Richard Thomas 1948 to 1984,http://www.temple.edu/crafts/metalsdirectorypage/p188.html
148,Gary S Griffin 1984 to present,http://www.temple.edu/crafts/metalsdirectorypage/p70.html
149,Allan C. Fisher 1990 to present,http://www.temple.edu/crafts/metalsdirectorypage/p53.html
151,Harold O'Connor 1993 to present,http://www.temple.edu/crafts/metalsdirectorypage/p138.html
152,John E. Satterfield 1967 to 2000,http://www.temple.edu/crafts/metalsdirectorypage/p166.html
152,Linda Darty Smith 1990 to present,http://www.temple.edu/crafts/metalsdirectorypage/p38.html
153,David G. Logan 1979 to present,http://www.temple.edu/crafts/metalsdirectorypage/p104.html
155,Robert Coogan 1981 to present,http://www.temple.edu/crafts/metalsdirectorypage/p30.html
157,Tim Glotzbach 1980 to present,http://www.temple.edu/crafts/metalsdirectorypage/p65.html
