id,slug,name,program_started,degrees,source_url,source_ts,fc_still_exists,fc_current_name,fc_current_chair,fc_current_status,fc_what_happened,fc_current_link,fc_confidence,fc_verified,fc_sources,fc_checked,fc_succession_status,fc_current_faculty
1,crafts/metalsdirectorypage/s1.html,Abilene Christian University,,"BFA, BA",http://www.temple.edu/crafts/metalsdirectorypage/s1.html,,no,Department of Art and Design,"Robert Green (Professor; Department Chair and Program Director, Fine Art). Graphic Design directed by Ryan Feerer.","The Department of Art and Design (College of Arts and Sciences) is active and offers a BFA in Art with concentrations in Studio Art, Graphic Design, and All-Level Teaching, plus majors in Art Education, Art Therapy, Graphic Design, and Interior Architecture and Design. Studio Art concentration tracks are Ceramics, Painting, and Sculpture only. There is NO metals/jewelry/metalsmithing concentration, major, or listed ART course in the current catalog. The department still advertises facilities including ""a well-equipped metal casting foundry"" and metalworking pneumatic tools, but these now serve sculpture/foundry rather than a jewelry/silversmithing program.","The metals/jewelry/silversmithing program was effectively the personal program of Virginia ""Ginna"" Sadler, who taught at ACU from 1980 until her retirement in 2016 (36 years). She held an MFA in jewelry design and silversmithing from Indiana University (1974) and was a member of the Society of North American Goldsmiths (SNAG). After her 2016 retirement the dedicated metals/jewelry teaching was not continued — current Studio Art concentrations are Ceramics, Painting, and Sculpture, with no metals/jewelry courses or specialist faculty. Sadler was named professor emeritus and died March 12, 2023, at age 74. The archived directory entry (""Ginna Sadler 1980 to present"") reflects the pre-2016 state; the program did not survive her departure.",https://acu.edu/academics/arts-humanities-social-sciences/art-design/,high,confirmed,https://acu.edu/2023/03/20/acu-remembers-ginna-sadler/ | https://acu.edu/academics/arts-humanities-social-sciences/art-design/ | https://acu.edu/academics/arts-humanities-social-sciences/art-design/faculty/ | https://catalog.acu.edu/preview_entity.php?catoid=23&ent_oid=1247&returnto=1353 | https://www.dignitymemorial.com/obituaries/abilene-tx/virginia-sadler-11195418,2026-05-29,,
2,crafts/metalsdirectorypage/s10.html,Birmingham Bloomfield Art Association,,,http://www.temple.edu/crafts/metalsdirectorypage/s10.html,,merged-renamed,Birmingham Bloomfield Art Center (BBAC),"Robin Servo, head of the Jewelry/Metals Department (BFA Michigan State Univ., MFA Cranbrook Academy of Art)","Active non-degree community art center. Offers ongoing (non-credit) Jewelry/Metalsmithing classes and camps for all ages within its Jewelry/Metals Department/studio. No academic degrees — it is a community arts education nonprofit, not a college.","The ""Birmingham Bloomfield Art Association"" now operates as the Birmingham Bloomfield Art Center (BBAC) — a rename/rebrand of the same nonprofit (founded 1957) in Birmingham, MI. The jewelry/metals program continues uninterrupted: its studio was renovated and reopened in late September 2014 (funded by the Michigan Council for Arts and Cultural Affairs plus donors), enabling access for students with special needs. Classes run continuously through 2025–2026. Leadership of the Jewelry/Metals Department is now Robin Servo (20+ years at BBAC); the archived faculty member Robert C. Fisher is no longer listed anywhere. Other current metals instructors include Nancy Clark, Janice Degen, Darlene Earls, and Mary Kernahan.",https://bbartcenter.org/,high,confirmed,https://bbartcenter.org/about-education-programs/jewelrymetals-studio-renovation/ | https://bbartcenter.org/bbac-faculty/ | https://bbartcenter.org/birmingham-bloomfield-art-center/ | https://bbartcenter.org/ | https://bbartcenter.org/2025-current-student-works-show-results/,2026-05-29,active-with-dedicated-faculty,Robin Servo (Head of the Jewelry/Metals Department)
3,crafts/metalsdirectorypage/s100.html,"California State University, Northridge",,"B.F.A, M.A, M.F.A",http://www.temple.edu/crafts/metalsdirectorypage/s100.html,,unknown,"Department of Art & Design, California State University, Northridge",,"CSUN's Department of Art & Design (in the Mike Curb College of Arts, Media, and Communication) currently offers a BA in Art with eleven undergraduate concentrations (Animation, Art Education, Art History, Ceramics, Communication/Graphic Design, Drawing, Illustration, Painting, Photography/Video, Printmaking, Sculpture) plus MA and MFA degrees in Visual Arts. No metals, metalsmithing, or jewelry concentration is listed in current or archived (2014, 2018) catalogs.","No dedicated metals/jewelry program could be documented at CSUN. The archived directory record carried no start date or faculty for this entry, and the program may have been listed loosely or have predated CSUN's online catalogs (earliest available, 2014, already shows no metals/jewelry concentration). Across the 2014, 2018, and current (2025/26) Art catalogs, the concentration list has been stable and never includes metals or jewelry; only Sculpture/Ceramics relate to 3D making, and Graphic Design is the only concentration noted as suspended. If a metals/jewelry offering ever existed at CSUN it was discontinued before the online-catalog era (~2014); there is no current metals/jewelry program in the department.",https://www.csun.edu/mike-curb-arts-media-communication/art-design,low,confirmed,https://www.csun.edu/mike-curb-arts-media-communication/art-design | https://www.csun.edu/mike-curb-arts-media-communication/art-design/programs-overview/undergraduate-programs | https://catalog.csun.edu/archive/2018/academics/art/programs/mfa-art/index.html | https://csun.edu/catalog/archive/2014/academics/art/programs/mfa-art.html | https://catalog.csun.edu/academics/art/overview/,2026-05-29,,
4,crafts/metalsdirectorypage/s101.html,Memphis College of Art,,"B.F.A, M.F.A",http://www.temple.edu/crafts/metalsdirectorypage/s101.html,,no,,,"degrees offered now, dept it sits in","The metals/jewelry program closed when the entire institution shut down. Memphis College of Art (founded 1936) announced in October 2017 that it would stop recruiting new students due to mounting real estate debt, a small endowment, and declining enrollment (down ~35% that year). It operated on a teach-out plan and closed permanently at the end of the 2019-20 academic year, holding its final commencement on May 9, 2020 (conducted virtually due to COVID-19). Metalworking/jewelry was one of MCA's 16 fine-arts programs (11 undergraduate BFA + 5 graduate degrees). There is no successor academic metals program. Note: in May 2022 the unrelated Metal Museum signed a lease for MCA's former campus (Rust Hall in Overton Park) — this is a museum/exhibition institution, NOT a continuation of the degree-granting academic program.",,high,confirmed,https://en.wikipedia.org/wiki/Memphis_College_of_Art | https://hyperallergic.com/411640/memphis-college-art-closing/ | https://www.localmemphis.com/article/news/health/coronavirus/the-end-of-an-era-memphis-college-of-art-prepares-to-say-goodbye-during-coronavirus-pandemic/522-04086167-c621-42f8-bd00-597312eefafb | https://dailymemphian.com/article/7309/The-art-of-closing-MCA-takes-high-road-to-the-end,2026-05-29,,
5,crafts/metalsdirectorypage/s102.html,Metairie Park Country Day School,,Certificate,http://www.temple.edu/crafts/metalsdirectorypage/s102.html,,yes,Metairie Park Country Day School — Visual Arts (Metals),,"Not a degree-granting institution. This is a K-12 independent private school in Metairie, Louisiana. ""Metals"" continues to exist as a semester-long Upper School (grades 9-12) visual-arts elective within the Visual Arts program (alongside Ceramics, Woodworking, 2D Art, Photography); metalworking is also taught in Middle School. No college degrees are offered — credential is a high school diploma.","The metals/jewelry course continues as part of the school's Visual Arts curriculum. The archived directory's named faculty member, Vitrice McMurry (listed ""1983 to present""), is no longer in the current MPCDS faculty directory and is now described in external sources as a FORMER metals teacher at the school — i.e., a leadership/teacher change since ~2014. She taught metalworking two days a week to grades 6-12 from 1983 for many years; she remains active as an independent New Orleans jewelry designer (sold at Symmetry Jewelers, Ogden Museum, NOMA; former Jazz Fest crafts director). The current metals teacher is not publicly named on the school site. Note: the archived record's framing as an academic ""metals/jewelry PROGRAM"" overstates it — it was always a secondary-school art elective, never a collegiate metals/jewelry/CAD-CAM degree program.",https://www.mpcds.com/arts/visual-arts,high,not-needed,https://www.mpcds.com/arts/visual-arts | https://www.mpcds.com/about/directory | https://www.myneworleans.com/vitrice-mcmurry-2014-new-orleans-top-female-achievers/ | https://vitrice.indiemade.com/content/bio,2026-05-29,active-no-dedicated-metals-faculty,
6,crafts/metalsdirectorypage/s103.html,Miami Jewelry Institute,,Certificate,http://www.temple.edu/crafts/metalsdirectorypage/s103.html,,merged-renamed,Miami Jewelry Institute,,"Active, licensed vocational/trade jewelry school (not a degree-granting college). Offers a diploma program ""Advanced Jewelry Technology"" (500 clock hours) plus non-diploma/advanced hands-on bench-jeweler courses and corporate trainings. Not part of a university department; it is a standalone state-licensed institution (FL Commission for Independent Education, License No. 65, licensed since 1987).</current_status>
<parameter name=""current_chair"">Dr. Samanthessa R. Jacob, PhD — Executive Director (since Feb 2024). Earlier owner/director Marc Thurn (2006-2024); founder Philippe Moutardier (1986).","The institution has operated continuously and is currently active. It was founded in 1986 by Philippe Moutardier as the ""First Institute of Gemology and Jewelry School of Florida"" in Coral Gables (state-licensed since 1987). In 2006 leadership passed to Marc Thurn and it operated as the ""Miami Jewelry School."" As of February 2024, Dr. Samanthessa R. Jacob assumed leadership and it was rebranded ""Miami Jewelry Institute."" So since ~2014 it continued under Marc Thurn, then underwent a 2024 leadership change and rename. The program is alive at 777 NW 72nd Ave, Miami, FL.",https://www.miamijewelryinstitute.com/,high,confirmed,https://www.miamijewelryinstitute.com/ | https://www.miamijewelryinstitute.com/about-us.html | https://www.miamijewelryinstitute.com/meet-our-team.html | https://web02.fldoe.org/CIE/SearchSchools/SchoolSearchDetail.aspx?schoolID=65 | https://www.jewelers.org/jewelry-careers/jewelry-schools-directory/1-miami-jewelry-institute,2026-05-29,active-with-dedicated-faculty,"Dr. Samanthessa R. Jacob, PhD (Executive Director and Instructor (2nd Generation Master Jeweler; Metal Fabrication, Mass Production)); Cynthia Zambrano (Enrollment Specialist and Instructor (GIA Certified Jeweler; Custom Jewelry Designs, Grills, Metal Fabrication)); Natasha Miller (Student Account Specialist and Instructor (Master Jeweler; Sculptural Jewelry, Metal Smithing)); Ivonne Ingle (Teacher's Assistant / Jeweler (Designing)); Zannabe Blair (Teacher's Assistant / Jeweler (Beadwork))"
7,crafts/metalsdirectorypage/s104.html,Miami University,,,http://www.temple.edu/crafts/metalsdirectorypage/s104.html,,yes,"Jewelry Design & Metals — Department of Art, College of Creative Arts, Miami University (Oxford, Ohio)",,"Active as a metals concentration within the Studio Art major (BA in Studio Art and BFA in Studio Art), plus graduate study in metals (ART 664) and a standalone Jewelry Design & Metals minor. Sits in the Department of Art within the College of Creative Arts. Studio is equipped with metalsmithing workstations, acetylene torch stations with vented hoods, rolling mill, and buffer; course sequence runs Jewelry Design & Metals I–IV (ART 364 studio).","Continuation with a leadership/faculty transition. The archived record lists Susan Ewing as ""1981 to present"" — she served Miami University ~35 years (1981–2016, retiring as University Distinguished Professor / Professor Emerita of Art; she was also Associate/Senior Associate Dean of the College of Creative Arts 2008–2016). After leaving Miami she became Director of Cranbrook Academy of Art (interim Aug 2018, permanent Jan 2019). The metals/jewelry program itself was not closed, merged, or renamed: post-2014 it continues as an active concentration in the Studio Art BA/BFA, with graduate study and a Jewelry Design & Metals minor still offered as of 2025–26. I could not confirm by name the specific tenured metals faculty member who succeeded Ewing or the current Department of Art chair.",https://miamioh.edu/cca/academics/departments/art/academics/majors/studio-art/metals/index.html,high,not-needed,https://miamioh.edu/cca/academics/departments/art/academics/majors/studio-art/metals/index.html | https://bulletin.miamioh.edu/creative-arts/art/ | https://miamioh.edu/academics/majors-minors/minors/jewelry-design-metals.html | https://miamioh.edu/academic-affairs/awards-professorships/spotlights/ewing-susan.html | https://cranbrookart.edu/press-room/susan-r-ewing-named-director-of-cranbrook-academy-of-art/ | https://programs.miamioh.edu/programs/studio-art-bfa/,2026-05-29,active-with-dedicated-faculty,Geoff Riggle (Associate Teaching Professor of Studio Art (jewelry design and metalsmithing))
8,crafts/metalsdirectorypage/s105.html,Middle Tennessee State University,,B.F.A,http://www.temple.edu/crafts/metalsdirectorypage/s105.html,,no,"Department of Art and Design, Middle Tennessee State University","Jimmy Mumford (Chair, Department of Art and Design, as of 2025)","No metals/jewelry/metalsmithing concentration is offered today. The Department of Art and Design (College of Liberal Arts) offers a BFA in Studio Art with emphases in ceramics, painting, printmaking, or sculpture; plus BFA Graphic Design, BS/BA Visual Arts, BS/BA Art History, and BS Art Education. Metals/jewelry is not among current studio emphasis areas.","The archived ""Klaus Kallenberger 1966 to present"" record was already stale when the directory went offline. Kallenberger — the program's metals/jewelry/silversmithing professor (MFA jewelry & silversmithing, Univ. of Kansas; he designed MTSU's ceremonial maces and chain of office) — taught roughly 1966 to 2002 and RETIRED in 2002 after 36 years. There is no evidence the metals/jewelry teaching area continued under a successor. By the present-day Department of Art and Design, the studio BFA emphases are ceramics, painting, printmaking, and sculpture only; no metals/jewelry concentration exists. So the program effectively ended with Kallenberger's 2002 retirement rather than surviving as a degree path; it was not renamed or merged into a continuing metals concentration.",https://art.mtsu.edu/programs/,high,confirmed,https://tnartscommission.org/permanentcollection/klaus-kallenberger/ | https://art.mtsu.edu/programs/ | https://www.mtsu.edu/program/art-studio-concentration-b-f-a/ | https://art.mtsu.edu/about/,2026-05-29,,
9,crafts/metalsdirectorypage/s106.html,Midwestern State University,,"B.A, B.F.A",http://www.temple.edu/crafts/metalsdirectorypage/s106.html,,yes,"Midwestern State University (MSU Texas) — Metalsmithing area, Department of Art, Fain College of Fine Arts","Suguru Hiraide, Professor of Sculpture and Metals (teaching at MSU since 2003) appears to be the metals faculty. No separate Art Department chair name was confirmed on the public pages.","Active. Metalsmithing is one of 10 studio areas in the Department of Art (Fain College of Fine Arts). Offered as part of the BFA in Art, BA in Art, and BFA with Teacher Certification. Curriculum runs Metals I–V (jewelry/non-ferrous metalwork: casting, raising, enameling, soldering, die-forming, niobium anodizing). No CAD-CAM emphasis listed.","Continuation, no closure. The metalsmithing program remains an active studio area in the Department of Art. The biggest institutional change since 2014: on June 8, 2021 Gov. Abbott signed HB 1522 making Midwestern State University the fifth member of the Texas Tech University System, effective Sept 1, 2021 — an affiliation/system change, not a name change or program change. Metals faculty Suguru Hiraide has been continuous since 2003.",https://msutexas.edu/academics/finearts/art/metalsmith.php,high,not-needed,https://msutexas.edu/academics/finearts/art/metalsmith.php | https://msutexas.edu/academics/finearts/art/courses.php | https://msutexas.edu/academics/finearts/art/faculty.php | https://www.texastech.edu/stories/21-06-ttu-system-welcomes-msu-texas.php | https://news.msutexas.edu/2021/05/governor-signs-bill-making-midwestern-state-5th-member-of-ttu-system.php,2026-05-29,active-with-dedicated-faculty,"Suguru Hiraide (Professor, Sculpture and Metals)"
10,crafts/metalsdirectorypage/s107.html,Millersville University,,,http://www.temple.edu/crafts/metalsdirectorypage/s107.html,,yes,"Fine Art Metals (concentration/minor), Department of Art &amp; Design","Becky McDonah (Professor in Fine Art Metals, runs the metals program). Department of Art &amp; Design chair: Line Bruntse (Associate Professor in Sculpture).","Active. Fine Art Metals is offered as a concentration within the BA, BFA, and BSE (Art Education) degrees, plus a minor in Fine Art Metals. It sits in the Department of Art &amp; Design, College of Arts, Humanities &amp; Social Sciences. Dedicated metals studio (20 jewelers' benches) in Breidenstine Hall Rm 201.","Continuation with a leadership/faculty change. The archived faculty member, Brigid O'Hanrahan (listed ""1982 to present""), retired after teaching metals at Millersville for nearly 30 years (around 2011-2012, per an Art Jewelry Forum profile) and shifted to her own studio practice. The metals program continued and is now led by Becky McDonah, Professor in Fine Art Metals. No closure, merger, or renaming of the program; it remains a live concentration/minor in the Department of Art &amp; Design.",https://www.millersville.edu/programs/fine-art-metals.php,high,not-needed,https://www.millersville.edu/programs/fine-art-metals.php | https://www.millersville.edu/art/faculty-and-staff/ | https://www.millersville.edu/art/ | https://www.millersville.edu/art/programs-of-study/concentrations.php | https://artjewelryforum.org/articles/geologica-brigid-ohanrahan-2/,2026-05-29,active-with-dedicated-faculty,Becky McDonah (Professor in Fine Art Metals)
